batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,6,6,3,31,32,128,0.0118,nan,nan,0.0118,0.9986,nan,nan,215.6522,74.8792
1,0,6,10,3,52,32,128,0.0122,nan,nan,0.0113,1.0733,nan,nan,375.5148,130.3871
1,0,6,16,3,82,32,128,0.0164,nan,nan,0.0091,1.8028,nan,nan,739.1549,256.651
1,0,6,24,4,124,32,128,0.0204,nan,nan,0.0102,1.9875,nan,nan,1190.4,413.3333
1,0,6,32,4,165,32,128,0.0304,nan,nan,0.0119,2.549,nan,nan,1360.7517,472.4832
1,0,6,36,4,186,32,128,0.0316,nan,nan,0.0123,2.5716,nan,nan,1487.9999,516.6666
1,0,10,6,2,56,32,128,0.0083,nan,nan,0.0082,1.0137,nan,nan,448.0,155.5556
1,0,10,10,3,87,32,128,0.0154,nan,nan,0.0082,1.875,nan,nan,870.0,302.0833
1,0,10,16,3,137,32,128,0.0266,nan,nan,0.0102,2.6,nan,nan,1096.0,380.5556
1,0,10,24,3,206,32,128,0.0348,nan,nan,0.0143,2.4263,nan,nan,1177.1428,408.7302
1,0,10,32,3,274,32,128,0.0439,nan,nan,0.0156,2.823,nan,nan,1443.2922,501.1431
1,0,10,36,4,310,32,128,0.0481,nan,nan,0.0174,2.7647,nan,nan,1750.5882,607.8431
1,0,16,6,2,82,32,128,0.0154,nan,nan,0.0082,1.875,nan,nan,656.0,227.7778
1,0,16,10,2,144,32,128,0.0266,nan,nan,0.0092,2.8889,nan,nan,1024.0,355.5555
1,0,16,16,3,228,32,128,0.0379,nan,nan,0.0146,2.5993,nan,nan,1281.405,444.9323
1,0,16,24,3,341,32,128,0.0532,nan,nan,0.0172,3.0958,nan,nan,1624.1116,563.9276
1,0,16,32,3,449,32,128,0.1321,nan,nan,0.0215,6.1429,nan,nan,1710.4762,593.9153
1,0,16,36,3,497,32,128,0.1416,nan,nan,0.0225,6.2841,nan,nan,1807.2727,627.5252
1,0,24,6,2,134,32,128,0.0266,nan,nan,0.0092,2.8819,nan,nan,952.8889,330.8642
1,0,24,10,2,213,32,128,0.0348,nan,nan,0.0143,2.4286,nan,nan,973.7143,338.0952
1,0,24,16,3,339,32,128,0.0532,nan,nan,0.0162,3.2918,nan,nan,1716.7952,596.1095
1,0,24,24,3,500,32,128,0.144,nan,nan,0.0216,6.6553,nan,nan,1893.4911,657.4622
1,0,24,32,3,666,32,128,0.1923,nan,nan,0.0276,6.9554,nan,nan,1973.3333,685.1852
1,0,24,36,3,753,32,128,0.2488,nan,nan,0.0298,8.3523,nan,nan,2070.5478,718.9402
1,0,32,6,2,177,32,128,0.0307,nan,nan,0.0101,3.0428,nan,nan,1148.9572,398.9435
1,0,32,10,2,277,32,128,0.044,nan,nan,0.0164,2.6928,nan,nan,1110.1683,385.4751
1,0,32,16,2,439,32,128,0.126,nan,nan,0.0195,6.4737,nan,nan,1478.7369,513.4503
