batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,6,6,3,31,32,128,0.0101,nan,nan,0.0102,0.9875,nan,nan,248.0,86.1111
1,0,6,10,3,52,32,128,0.0102,nan,nan,0.0102,1.0,nan,nan,416.0,144.4444
1,0,6,16,3,82,32,128,0.0163,nan,nan,0.0102,1.5937,nan,nan,656.0,227.7778
1,0,6,24,4,124,32,128,0.0215,nan,nan,0.0113,1.9091,nan,nan,1082.1818,375.7576
1,0,6,32,4,165,32,128,0.0316,nan,nan,0.012,2.6426,nan,nan,1357.1085,471.2182
1,0,6,36,4,186,32,128,0.0317,nan,nan,0.0123,2.5833,nan,nan,1487.9999,516.6666
1,0,10,6,2,56,32,128,0.0083,nan,nan,0.0082,1.0117,nan,nan,448.0,155.5556
1,0,10,10,3,87,32,128,0.0154,nan,nan,0.0113,1.3665,nan,nan,632.7273,219.697
1,0,10,16,3,137,32,128,0.0287,nan,nan,0.0109,2.6184,nan,nan,1025.497,356.0754
1,0,10,24,3,206,32,128,0.0367,nan,nan,0.0153,2.396,nan,nan,1102.1108,382.6773
1,0,10,32,3,274,32,128,0.0449,nan,nan,0.0164,2.7432,nan,nan,1370.0,475.6944
1,0,10,36,4,310,32,128,0.0483,nan,nan,0.0174,2.773,nan,nan,1750.5882,607.8431
1,0,16,6,2,82,32,128,0.0154,nan,nan,0.0082,1.875,nan,nan,656.0,227.7778
1,0,16,10,2,144,32,128,0.028,nan,nan,0.0092,3.0417,nan,nan,1024.0,355.5555
1,0,16,16,3,228,32,128,0.038,nan,nan,0.0146,2.6092,nan,nan,1281.405,444.9323
1,0,16,24,3,341,32,128,0.0532,nan,nan,0.0173,3.0758,nan,nan,1613.6045,560.2793
1,0,16,32,3,449,32,128,0.1331,nan,nan,0.0215,6.1905,nan,nan,1710.4762,593.9153
1,0,16,36,3,497,32,128,0.1422,nan,nan,0.0225,6.3229,nan,nan,1809.8435,628.4179
1,0,24,6,2,134,32,128,0.0276,nan,nan,0.0092,3.0,nan,nan,952.8889,330.8642
1,0,24,10,2,213,32,128,0.0358,nan,nan,0.0143,2.5,nan,nan,973.7143,338.0952
1,0,24,16,3,339,32,128,0.0532,nan,nan,0.0162,3.2788,nan,nan,1710.0295,593.7602
1,0,24,24,3,500,32,128,0.1435,nan,nan,0.0215,6.6711,nan,nan,1904.7619,661.3757
1,0,24,32,3,666,32,128,0.1935,nan,nan,0.0276,6.9994,nan,nan,1973.3333,685.1852
