B,b,d,N,ragged_ms,sdpa_math_ms,sdpa_flash_ms,speedup_vs_math,speedup_vs_flash
1,2,1,3,0.067,0.134,0.039,2.0x,0.6x
1,2,3,15,0.057,0.13,0.039,2.3x,0.7x
1,2,5,63,0.057,0.13,0.039,2.3x,0.7x
4,2,1,3,0.063,0.163,0.041,2.6x,0.7x
4,2,3,15,0.063,0.163,0.041,2.6x,0.7x
4,2,5,63,0.063,0.165,0.041,2.6x,0.7x
4,2,7,255,0.064,0.162,0.041,2.5x,0.6x
4,2,8,511,0.064,0.238,0.042,3.7x,0.7x
8,2,1,3,0.063,0.163,0.042,2.6x,0.7x
8,2,3,15,0.064,0.163,0.041,2.5x,0.6x
8,2,5,63,0.064,0.164,0.042,2.6x,0.7x
8,2,7,255,0.064,0.176,0.042,2.8x,0.7x
8,2,8,511,0.065,0.447,0.048,6.9x,0.7x
32,2,1,3,0.083,0.219,0.054,2.6x,0.7x
32,2,3,15,0.084,0.214,0.055,2.5x,0.7x
32,2,5,63,0.084,0.213,0.053,2.5x,0.6x
32,2,7,255,0.089,0.55,0.054,6.2x,0.6x
32,2,8,511,0.102,2.594,0.085,25.4x,0.8x
128,2,1,3,0.073,0.198,0.044,2.7x,0.6x
128,2,3,15,0.07,0.171,0.045,2.4x,0.6x
128,2,5,63,0.075,0.268,0.046,3.6x,0.6x
128,2,7,255,0.116,3.068,0.092,26.4x,0.8x
128,2,8,511,0.279,10.415,0.227,37.3x,0.8x
1,3,1,4,0.057,0.135,0.041,2.4x,0.7x
1,3,3,40,0.056,0.133,0.039,2.4x,0.7x
1,3,5,364,0.058,0.137,0.048,2.3x,0.8x
4,3,1,4,0.063,0.165,0.041,2.6x,0.7x
4,3,3,40,0.064,0.164,0.042,2.6x,0.7x
4,3,5,364,0.064,0.187,0.04,2.9x,0.6x
4,3,7,3280,0.078,11.559,0.228,148.2x,2.9x
8,3,1,4,0.063,0.161,0.041,2.6x,0.7x
8,3,3,40,0.064,0.165,0.041,2.6x,0.6x
8,3,5,364,0.064,0.26,0.042,4.1x,0.7x
8,3,7,3280,0.095,23.181,0.361,244.0x,3.8x
32,3,1,4,0.082,0.214,0.053,2.6x,0.6x
32,3,3,40,0.084,0.214,0.053,2.5x,0.6x
32,3,5,364,0.09,1.375,0.066,15.3x,0.7x
32,3,7,3280,0.421,92.326,1.143,219.3x,2.7x
128,3,1,4,0.07,0.167,0.044,2.4x,0.6x
128,3,3,40,0.071,0.166,0.045,2.3x,0.6x
128,3,5,364,0.193,5.622,0.17,29.1x,0.9x
1,4,1,5,0.06,0.141,0.043,2.3x,0.7x
1,4,3,85,0.057,0.146,0.041,2.6x,0.7x
1,4,5,1365,0.062,0.372,0.054,6.0x,0.9x
4,4,1,5,0.077,0.188,0.046,2.4x,0.6x
4,4,3,85,0.068,0.179,0.044,2.6x,0.6x
4,4,5,1365,0.072,2.116,0.081,29.4x,1.1x
8,4,1,5,0.064,0.161,0.042,2.5x,0.7x
8,4,3,85,0.064,0.163,0.042,2.5x,0.7x
8,4,5,1365,0.071,4.196,0.111,59.1x,1.6x
32,4,1,5,0.065,0.171,0.041,2.6x,0.6x
32,4,3,85,0.07,0.167,0.041,2.4x,0.6x
32,4,5,1365,0.175,16.297,0.289,93.1x,1.7x
128,4,1,5,0.071,0.162,0.044,2.3x,0.6x
128,4,3,85,0.078,0.396,0.046,5.1x,0.6x
128,4,5,1365,0.629,64.671,0.908,102.8x,1.4x
