context_length,depth,total_token,top_k,label,vanilla_tok_s,vanilla_acc,vanilla_verify,ragged_tok_s,ragged_acc,ragged_verify,e2e_speedup
4096,12,123,12,b=12 d=12 tt=123,16.6,1.437,0.5634,15.9,1.437,0.5844,0.9578
4096,16,165,12,b=12 d=16 tt=165,13.5,1.442,0.5592,14.3,1.442,0.5309,1.0593
4096,20,206,12,b=12 d=20 tt=206,11.6,1.444,0.5464,13.0,1.444,0.4909,1.1207
4096,24,247,12,b=12 d=24 tt=247,10.4,1.444,0.5244,11.9,1.444,0.452,1.1442
4096,12,165,16,b=16 d=12 tt=165,15.0,1.472,0.6084,15.8,1.47,0.5839,1.0533
4096,16,219,16,b=16 d=16 tt=219,12.3,1.464,0.5927,14.1,1.472,0.5349,1.1463
4096,20,274,16,b=16 d=20 tt=274,10.5,1.481,0.586,12.9,1.474,0.4924,1.2286
4096,24,329,16,b=16 d=24 tt=329,9.3,1.478,0.5733,11.9,1.478,0.4558,1.2796
4096,12,206,20,b=20 d=12 tt=206,13.9,1.491,0.6362,15.8,1.493,0.5858,1.1367
4096,16,274,20,b=20 d=16 tt=274,11.3,1.492,0.6288,14.1,1.493,0.5335,1.2478
4096,20,343,20,b=20 d=20 tt=343,9.8,1.49,0.6088,12.7,1.497,0.4894,1.2959
4096,24,411,20,b=20 d=24 tt=411,8.2,1.505,0.6214,10.8,1.505,0.4888,1.3171
4096,12,247,24,b=24 d=12 tt=247,13.2,1.505,0.6427,15.8,1.505,0.5803,1.197
4096,16,329,24,b=24 d=16 tt=329,10.7,1.506,0.6454,14.2,1.507,0.5306,1.3271
4096,20,411,24,b=24 d=20 tt=411,8.7,1.511,0.655,11.8,1.51,0.5304,1.3563
4096,24,494,24,b=24 d=24 tt=494,7.6,1.51,0.6466,10.8,1.516,0.5027,1.4211
