batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
1,0,7,7,2,42,32,128,0.009733333333333335,,0.018566666666666665,0.009433333333333334,0.009433333333333334,1.04,,1.9871666666666667,0.9996666666666667,294.7707666666667,102.351
1,0,7,14,3,84,32,128,0.0161,,0.036500000000000005,0.008866666666666667,0.0082,1.8312,,4.1503000000000005,1.0800666666666665,783.5922,272.0806333333333
1,0,7,21,3,126,32,128,0.020433333333333335,,0.055266666666666665,0.0082,0.0082,2.4922,,6.744133333333333,1.0,1260.0,437.5
1,0,7,28,3,168,32,128,0.0302,,0.09076666666666666,0.009800000000000001,0.009766666666666667,3.0825666666666667,,9.274233333333333,1.0052999999999999,1405.8113666666668,488.12896666666666
1,0,14,7,2,84,32,128,0.015400000000000002,,0.03576666666666667,0.0082,0.008266666666666667,1.8776,,4.3672,0.9899,672.0,233.3333
1,0,14,14,2,168,32,128,0.030266666666666664,,0.09136666666666667,0.0087,0.009066666666666666,3.4769666666666663,,10.504733333333334,0.9615999999999999,1265.7631333333334,439.50109999999995
1,0,14,21,3,252,32,128,0.03933333333333333,,0.13276666666666667,0.012966666666666668,0.013133333333333332,3.0396,,10.2551,0.9854333333333334,1594.3879333333334,553.6069
1,0,14,28,3,336,32,128,0.05256666666666667,,0.1737,0.015733333333333335,0.015266666666666666,3.3506,,11.072899999999999,1.0291333333333335,1754.6666666666667,609.2592333333333
1,0,21,7,2,126,32,128,0.020666666666666667,,0.055566666666666674,0.008833333333333334,0.009000000000000001,2.356866666666667,,6.3446,0.9792333333333333,943.6454333333332,327.6546666666666
1,0,21,14,2,252,32,128,0.03956666666666667,,0.132,0.011766666666666667,0.011566666666666668,3.3665333333333334,,11.2346,1.0166333333333333,1405.5659333333333,488.04373333333336
1,0,21,21,2,378,32,128,0.058166666666666665,,0.19843333333333332,0.014166666666666668,0.014166666666666666,4.102533333333334,,14.004333333333335,1.0,1748.3100333333332,607.0520666666666
1,0,21,28,3,504,32,128,0.14203333333333334,,0.30016666666666664,0.019733333333333335,0.0192,7.209066666666668,,15.230466666666667,1.0261,2094.9290333333333,727.4059333333333
1,0,28,7,2,168,32,128,0.030333333333333334,,0.0907,0.0087,0.0085,3.487433333333333,,10.427833333333334,1.0243,1265.7932333333333,439.5115333333333
1,0,28,14,2,336,32,128,0.0522,,0.17343333333333333,0.0133,0.013266666666666668,3.9231,,13.026833333333334,1.002,1654.1539,574.359
1,0,28,21,2,504,32,128,0.14243333333333333,,0.30083333333333334,0.0179,0.0173,7.979966666666667,,16.856333333333335,1.0355666666666667,1850.9339666666667,642.6854
1,0,28,28,2,672,32,128,0.18776666666666667,,0.37906666666666666,0.022333333333333334,0.022500000000000003,8.413466666666666,,16.985266666666664,0.9988666666666667,1973.2334,685.1505000000001
1,4096,7,7,2,42,32,128,0.23183333333333334,0.22713333333333333,,0.23346666666666668,,0.9933,0.9729333333333333,,,11.791366666666667,4.094233333333333
