batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,bw_gb_s,bw_util_pct
1,0,4,3,3,29,32,128,0.0085,,,0.0088,0.9673999999999999,,,270.65903333333335,93.97883333333334
1,0,4,5,4,32,32,128,0.0083,,,0.008633333333333333,0.9616000000000001,,,365.31513333333334,126.84553333333334
1,0,4,7,4,30,32,128,0.008233333333333334,,,0.008466666666666666,0.9766666666666667,,,349.97229999999996,121.51816666666667
1,0,4,10,3,34,32,128,0.0082,,,0.0085,0.9660666666666667,,,328.4601333333333,114.0487
1,0,4,14,4,49,32,128,0.0086,,,0.0092,0.9323,,,522.6666,181.4815
1,0,4,20,4,69,32,128,0.014866666666666667,,,0.0096,1.5539666666666667,,,707.7080333333333,245.73193333333333
1,0,4,28,4,96,32,128,0.016533333333333334,,,0.010366666666666668,1.5889666666666666,,,907.8447666666667,315.22386666666665
1,0,8,3,3,35,32,128,0.0082,,,0.008366666666666666,0.9814999999999999,,,343.52819999999997,119.28063333333334
1,0,8,5,2,34,32,128,0.0085,,,0.0085,0.9986,,,262.7458,91.23116666666665
1,0,8,7,3,50,32,128,0.008766666666666667,,,0.008133333333333334,1.075,,,503.32006666666666,174.7639
1,0,8,10,3,71,32,128,0.0147,,,0.008766666666666667,1.6799333333333333,,,665.6324,231.1223666666667
1,0,8,14,3,96,32,128,0.0165,,,0.009133333333333334,1.8040666666666667,,,859.3853333333333,298.3977
1,0,8,20,3,141,32,128,0.026933333333333333,,,0.010333333333333333,2.6045333333333334,,,1115.5045333333335,387.328
1,0,8,28,4,193,32,128,0.03439999999999999,,,0.015633333333333332,2.2049333333333334,,,1215.5546333333334,422.06756666666666
1,0,12,3,2,31,32,128,0.008366666666666666,,,0.008533333333333334,0.9878333333333335,,,239.19953333333333,83.0554
1,0,12,5,2,56,32,128,0.0088,,,0.0083,1.0584,,,441.5352666666667,153.31086666666667
1,0,12,7,3,74,32,128,0.0153,,,0.009433333333333334,1.6287333333333331,,,644.9402,223.9376
1,0,12,10,3,110,32,128,0.018966666666666666,,,0.0092,2.0596333333333336,,,977.7777,339.5062
1,0,12,14,3,147,32,128,0.027566666666666666,,,0.0102,2.6916999999999995,,,1176.0,408.3333
1,0,12,20,3,206,32,128,0.03506666666666667,,,0.014133333333333333,2.4814666666666665,,,1194.1705666666667,414.64256666666665
1,0,12,28,3,290,32,128,0.04883333333333334,,,0.017133333333333334,2.856866666666667,,,1392.5310333333334,483.51770000000005
1,0,16,3,2,45,32,128,0.008433333333333333,,,0.008233333333333334,1.0292333333333332,,,358.8394666666666,124.59703333333334
1,0,16,5,2,79,32,128,0.015533333333333335,,,0.008266666666666667,1.8757666666666666,,,626.3188333333334,217.4718
1,0,16,7,2,96,32,128,0.016200000000000003,,,0.008233333333333334,1.9703333333333333,,,766.0251666666667,265.9809666666667
1,0,16,10,2,144,32,128,0.0266,,,0.009300000000000001,2.8613,,,1014.2147333333332,352.1578666666667
1,0,16,14,3,199,32,128,0.03456666666666666,,,0.013366666666666666,2.5803666666666665,,,1216.8400666666666,422.5139
1,0,16,20,3,277,32,128,0.045399999999999996,,,0.015666666666666666,2.9037666666666664,,,1450.6491999999998,503.6976333333333
1,0,16,28,3,389,32,128,0.11843333333333333,,,0.02033333333333333,5.823366666666668,,,1567.0613333333333,544.1185333333333
1,0,20,3,2,56,32,128,0.008566666666666667,,,0.008233333333333334,1.0398666666666667,,,445.8451,154.80733333333333
1,0,20,5,2,90,32,128,0.016333333333333335,,,0.0085,1.9178,,,693.0872666666668,240.65529999999998
1,0,20,7,2,121,32,128,0.0199,,,0.0086,2.3129666666666666,,,923.0902,320.5174333333334
1,0,20,10,2,178,32,128,0.032400000000000005,,,0.0102,3.1717666666666666,,,1142.1825333333334,396.59116666666665
1,0,20,14,3,248,32,128,0.03946666666666667,,,0.014366666666666666,2.750666666666666,,,1415.5641333333333,491.51533333333333
1,0,20,20,3,345,32,128,0.05366666666666667,,,0.0164,3.2783,,,1725.0,598.9583
1,0,20,28,3,482,32,128,0.14216666666666666,,,0.022466666666666666,6.324033333333333,,,1756.5072333333335,609.8983333333334
1,0,24,3,2,70,32,128,0.0148,,,0.008233333333333334,1.8011333333333333,,,557.5661,193.5993
1,0,24,5,2,105,32,128,0.018766666666666668,,,0.008333333333333333,2.256133333333333,,,826.7379333333333,287.0618
1,0,24,7,2,145,32,128,0.027200000000000002,,,0.0092,2.9537,,,1031.1111,358.0247
1,0,24,10,2,213,32,128,0.035666666666666666,,,0.0133,2.6811000000000003,,,1048.6154,364.1026
1,0,24,14,3,302,32,128,0.04833333333333334,,,0.017233333333333333,2.807933333333333,,,1436.8143,498.8938666666666
1,0,24,20,3,423,32,128,0.12506666666666666,,,0.020833333333333332,6.006333333333333,,,1665.1428666666668,578.1745999999999
1,0,24,28,3,589,32,128,0.1714,,,0.02576666666666667,6.653366666666667,,,1872.8587,650.2982
1,0,28,3,2,76,32,128,0.015566666666666666,,,0.0082,1.9016000000000002,,,608.3966,211.2488
1,0,28,5,2,135,32,128,0.0267,,,0.0092,2.8981666666666666,,,960.0,333.3333
1,0,28,7,2,176,32,128,0.031,,,0.010033333333333333,3.093033333333333,,,1150.386166666667,399.43966666666665
1,0,28,10,2,249,32,128,0.039466666666666664,,,0.013766666666666668,2.8689666666666667,,,1186.2639,411.89716666666664
1,0,28,14,2,339,32,128,0.054233333333333335,,,0.016666666666666666,3.265833333333333,,,1338.1511333333335,464.6358
1,0,28,20,3,494,32,128,0.14386666666666667,,,0.0214,6.721900000000001,,,1890.8193,656.5344666666666
1,0,28,28,3,681,32,128,0.21606666666666666,,,0.02783333333333333,7.750900000000001,,,2001.4471999999998,694.9469666666668
1,1024,4,3,3,29,32,128,0.03986666666666667,0.0297,,0.0358,1.1131,0.8286000000000001,,66.2857,23.0159
1,1024,4,5,4,32,32,128,0.0399,0.0297,,0.0369,1.0833,0.8056,,85.3333,29.6296
1,1024,4,7,4,30,32,128,0.0399,0.0297,,0.0369,1.0833,0.8056,,80.0,27.7778
1,1024,4,10,3,34,32,128,0.041,0.03013333333333333,,0.03663333333333333,1.1182666666666667,0.8222333333333333,,76.03976666666667,26.4027
