L,b,d,N,vanilla_tok_s,ragged_tok_s,speedup,v_acc_per_step,r_acc_per_step,v_verify_ms,r_verify_ms,verify_fraction
0,6,6,31,35.6,35.7,1.003,4.64,4.69,107.0,107.9,0.82
0,6,16,82,32.0,31.5,0.985,5.31,5.24,114.0,114.1,0.69
0,6,24,123,27.4,27.3,0.996,5.23,5.23,116.7,117.5,0.61
0,16,6,82,36.8,36.0,0.978,5.12,5.19,114.0,121.0,0.82
0,16,16,219,30.6,29.7,0.970,5.88,5.82,135.5,141.0,0.71
0,16,24,329,24.5,25.0,1.018,6.02,6.09,163.8,163.8,0.67
0,24,6,123,37.1,37.0,0.996,5.29,5.44,116.7,123.2,0.82
0,24,16,329,26.8,27.0,1.011,5.95,5.99,162.7,163.6,0.73
0,24,24,494,20.2,21.4,1.060,6.20,6.18,220.0,203.1,0.72
4096,6,6,31,8.0,7.6,0.947,1.39,1.39,128.3,137.4,0.74
4096,6,16,82,5.9,6.3,1.065,1.40,1.40,159.3,144.9,0.67
4096,6,24,123,4.9,5.5,1.130,1.40,1.40,181.1,147.4,0.63
4096,16,6,82,7.3,7.9,1.082,1.50,1.51,159.3,144.7,0.77
4096,16,16,219,4.7,6.0,1.286,1.52,1.52,239.1,166.7,0.74
4096,16,24,329,3.6,5.0,1.391,1.53,1.53,310.9,190.6,0.73
4096,24,6,123,6.7,7.9,1.175,1.55,1.56,181.0,147.3,0.79
4096,24,16,329,4.0,5.6,1.429,1.58,1.58,310.9,190.3,0.78
4096,24,24,494,2.8,4.5,1.582,1.57,1.58,439.4,234.9,0.79
