batch_size,prefix_length,branching_factor,depth,effective_depth,num_tree_nodes,num_heads,head_dim,flashinfer_tree_ms,flashinfer_cascade_ms,deft_ms,ragged_ms,ragged_sibling_ms,speedup_vs_tree,speedup_vs_cascade,speedup_vs_deft,speedup_sibling_vs_base,bw_gb_s,bw_util_pct
1,0,4,3,3,30,32,128,0.0114,,,0.0113,0.0113,1.0028,,,1.0057,216.9492,75.3296
1,0,4,5,3,30,32,128,0.0113,,,0.0112,0.0111,1.0043,,,1.0101,219.1156,76.0818
1,0,4,7,3,30,32,128,0.0113,,,0.011,0.0105,1.0277,,,1.041,224.2336,77.8589
1,0,4,10,3,34,32,128,0.0113,,,0.0113,0.0113,1.0,,,1.0,247.2727,85.8586
1,0,4,14,3,48,32,128,0.0113,,,0.0113,0.0118,0.9986,,,0.9566,348.5957,121.0402
1,0,4,20,3,69,32,128,0.0172,,,0.0122,0.0121,1.4113,,,1.004,464.2313,161.1914
1,0,4,28,4,96,32,128,0.0184,,,0.0114,0.0113,1.6225,,,1.0085,830.738,288.4507
1,0,8,3,2,30,32,128,0.0113,,,0.0144,0.0113,0.7796,,,1.2827,136.0797,47.2499
1,0,8,5,2,34,32,128,0.0113,,,0.0113,0.0121,1.0,,,0.9325,197.8182,68.6869
1,0,8,7,2,48,32,128,0.0113,,,0.0113,0.0113,1.0,,,0.9929,279.2727,96.9697
1,0,8,10,2,69,32,128,0.0168,,,0.0113,0.0121,1.4873,,,0.939,399.1864,138.6064
1,0,8,14,3,96,32,128,0.0184,,,0.0123,0.0123,1.5,,,1.0,640.0,222.2222
1,0,8,20,3,137,32,128,0.0297,,,0.0123,0.0122,2.4167,,,1.0105,913.3333,317.1296
1,0,8,28,3,192,32,128,0.0348,,,0.0123,0.0123,2.8333,,,1.0,1280.0,444.4444
1,0,12,3,2,31,32,128,0.0115,,,0.0113,0.0118,1.0213,,,0.9578,180.3636,62.6263
1,0,12,5,2,51,32,128,0.0123,,,0.0114,0.0114,1.0771,,,0.9972,292.9818,101.7298
1,0,12,7,2,72,32,128,0.0173,,,0.0123,0.0123,1.4089,,,1.0,384.0,133.3333
1,0,12,10,2,103,32,128,0.0213,,,0.0123,0.0122,1.7318,,,1.0066,549.3333,190.7407
1,0,12,14,2,144,32,128,0.0297,,,0.0123,0.012,2.4073,,,1.0253,765.0117,265.629
1,0,12,20,3,206,32,128,0.0381,,,0.0143,0.0143,2.6551,,,1.0045,1177.1428,408.7302
1,0,12,28,3,288,32,128,0.0489,,,0.0154,0.0154,3.1833,,,1.0,1536.0,533.3333
1,0,16,3,2,41,32,128,0.0121,,,0.0122,0.0123,0.9974,,,0.9896,220.9684,76.7251
1,0,16,5,2,69,32,128,0.0172,,,0.0123,0.0122,1.3997,,,1.0092,368.0,127.7778
1,0,16,7,2,96,32,128,0.0184,,,0.0123,0.0123,1.5,,,1.0,512.0,177.7778
1,0,16,10,2,137,32,128,0.0297,,,0.0123,0.0123,2.4167,,,1.0,730.6666,253.7037
1,0,16,14,2,192,32,128,0.0348,,,0.0123,0.0123,2.8333,,,1.0,1024.0,355.5555
1,0,16,20,3,274,32,128,0.0481,,,0.0154,0.0154,3.1333,,,1.0,1461.3334,507.4074
1,0,16,28,3,384,32,128,0.0604,,,0.0184,0.0184,3.2778,,,1.0,1706.6666,592.5926
1,0,20,3,2,51,32,128,0.0121,,,0.0113,0.0113,1.0767,,,1.0,296.7273,103.0303
