batch_size,ctx_len,max_tree_depth,branching_factor,max_draft_tokens,L_max,L_mean,token_padding_ratio,attn_padding_ratio
1,128,1,2,3,131,131.0,0.0,0.0
1,128,1,3,4,132,132.0,0.0,0.0
1,128,1,4,5,133,133.0,0.0,0.0
1,128,2,2,7,131,131.0,0.0,0.0
1,128,2,3,13,141,141.0,0.0,0.0
1,128,2,4,21,149,149.0,0.0,0.0
1,128,3,2,15,135,135.0,0.0,0.0
1,128,3,3,40,141,141.0,0.0,0.0
1,128,3,4,85,213,213.0,0.0,0.0
1,128,4,2,31,131,131.0,0.0,0.0
1,128,4,3,121,168,168.0,0.0,0.0
1,128,4,4,341,133,133.0,0.0,0.0
1,128,5,2,63,131,131.0,0.0,0.0
1,128,5,3,364,168,168.0,0.0,0.0
1,128,5,4,1365,1493,1493.0,0.0,0.0
2,128,1,2,3,131,131.0,0.0,0.0
2,128,1,3,4,132,132.0,0.0,0.0
2,128,1,4,5,133,133.0,0.0,0.0
2,128,2,2,7,135,135.0,0.0,0.0
2,128,2,3,13,141,141.0,0.0,0.0
2,128,2,4,21,149,141.0,0.0537,0.1016
2,128,3,2,15,143,139.0,0.028,0.0544
2,128,3,3,40,141,141.0,0.0,0.0
2,128,3,4,85,213,173.0,0.1878,0.3051
2,128,4,2,31,159,151.0,0.0503,0.0956
2,128,4,3,121,249,195.0,0.2169,0.3397
2,128,4,4,341,213,181.0,0.1502,0.2553
2,128,5,2,63,143,139.0,0.028,0.0544
2,128,5,3,364,168,150.0,0.1071,0.1913
2,128,5,4,1365,1493,813.0,0.4555,0.496
4,128,1,2,3,131,131.0,0.0,0.0
4,128,1,3,4,132,132.0,0.0,0.0
4,128,1,4,5,133,133.0,0.0,0.0
4,128,2,2,7,135,134.0,0.0074,0.0146
4,128,2,3,13,141,136.5,0.0319,0.0618
4,128,2,4,21,149,141.0,0.0537,0.1016
4,128,3,2,15,143,140.0,0.021,0.0402
4,128,3,3,40,141,138.75,0.016,0.0309
4,128,3,4,85,213,177.0,0.169,0.2802
4,128,4,2,31,159,149.0,0.0629,0.1176
4,128,4,3,121,249,168.0,0.3253,0.5095
4,128,4,4,341,469,221.0,0.5288,0.6846
4,128,5,2,63,159,144.0,0.0943,0.1759
4,128,5,3,364,249,174.75,0.2982,0.4759
4,128,5,4,1365,1493,833.0,0.4421,0.4929
8,128,1,2,3,131,131.0,0.0,0.0
8,128,1,3,4,132,132.0,0.0,0.0
8,128,1,4,5,133,133.0,0.0,0.0
8,128,2,2,7,135,133.5,0.0111,0.0219
8,128,2,3,13,141,136.5,0.0319,0.0618
8,128,2,4,21,149,145.0,0.0268,0.0508
8,128,3,2,15,143,136.5,0.0455,0.0881
8,128,3,3,40,168,139.88,0.1674,0.3022
8,128,3,4,85,213,163.0,0.2347,0.3954
8,128,4,2,31,159,139.0,0.1258,0.2327
8,128,4,3,121,249,178.12,0.2846,0.4395
8,128,4,4,341,469,275.0,0.4136,0.5513
8,128,5,2,63,191,151.5,0.2068,0.3627
8,128,5,3,364,492,183.75,0.6265,0.8039
8,128,5,4,1365,1493,491.0,0.6711,0.8196
16,128,1,2,3,131,131.0,0.0,0.0
16,128,1,3,4,132,132.0,0.0,0.0
16,128,1,4,5,133,133.0,0.0,0.0
16,128,2,2,7,135,132.5,0.0185,0.0365
16,128,2,3,13,141,135.94,0.0359,0.0695
16,128,2,4,21,149,140.0,0.0604,0.1143
16,128,3,2,15,143,135.25,0.0542,0.1046
16,128,3,3,40,168,141.56,0.1574,0.2837
16,128,3,4,85,213,160.0,0.2488,0.4141
16,128,4,2,31,159,140.25,0.1179,0.2182
16,128,4,3,121,249,173.06,0.305,0.4833
16,128,4,4,341,469,229.0,0.5117,0.6961
16,128,5,2,63,191,153.5,0.1963,0.3363
16,128,5,3,364,492,267.56,0.4562,0.6047
16,128,5,4,1365,1493,549.0,0.6323,0.7251
32,128,1,2,3,131,131.0,0.0,0.0
32,128,1,3,4,132,132.0,0.0,0.0
32,128,1,4,5,133,133.0,0.0,0.0
32,128,2,2,7,135,132.75,0.0167,0.0328
32,128,2,3,13,141,135.94,0.0359,0.0695
32,128,2,4,21,149,141.5,0.0503,0.0953
32,128,3,2,15,143,137.0,0.042,0.081
32,128,3,3,40,168,147.47,0.1222,0.2201
32,128,3,4,85,213,163.0,0.2347,0.3884
32,128,4,2,31,159,143.62,0.0967,0.1779
32,128,4,3,121,249,171.38,0.3117,0.4961
32,128,4,4,341,469,255.0,0.4563,0.6191
32,128,5,2,63,191,156.62,0.18,0.314
32,128,5,3,364,492,222.0,0.5488,0.7339
32,128,5,4,1365,1493,476.5,0.6808,0.8035
