B,b,d,N,ragged_ms,roofline_ms,util_pct,achieved_tflops,achieved_bw_gbs,intensity,cta_count,sm_saturation,bottleneck
1,2,1,3,0.0093,0.0,22692.7,0.001,1.3,1.0,8,0.2,HBM-bound  I=1.0 FLOPs/B < I*=217
1,2,3,15,0.0099,0.0002,4809.6,0.012,6.2,2.0,8,0.2,HBM-bound  I=2.0 FLOPs/B < I*=217
1,2,5,63,0.0118,0.0009,1370.4,0.066,21.9,3.0,32,0.8,HBM-bound  I=3.0 FLOPs/B < I*=217
1,3,1,4,0.0092,0.0001,16821.5,0.002,1.8,1.0,8,0.2,HBM-bound  I=1.0 FLOPs/B < I*=217
1,3,3,40,0.0108,0.0005,1973.6,0.03,15.2,2.0,24,0.6,HBM-bound  I=2.0 FLOPs/B < I*=217
1,3,5,364,0.0132,0.005,265.2,0.339,113.1,3.0,184,4.6,HBM-bound  I=3.0 FLOPs/B < I*=217
1,4,1,5,0.0093,0.0001,13690.6,0.002,2.2,1.0,8,0.2,HBM-bound  I=1.0 FLOPs/B < I*=217
1,4,3,85,0.0114,0.0012,979.6,0.061,30.6,2.0,48,1.2,HBM-bound  I=2.0 FLOPs/B < I*=217
1,4,5,1365,0.0164,0.0186,88.0,1.023,340.9,3.0,688,17.2,HBM-bound  I=3.0 FLOPs/B < I*=217
4,2,1,3,0.0094,0.0002,5712.5,0.005,5.3,1.0,128,3.2,HBM-bound  I=1.0 FLOPs/B < I*=217
4,2,3,15,0.0101,0.0008,1238.4,0.048,24.2,2.0,128,3.2,HBM-bound  I=2.0 FLOPs/B < I*=217
4,2,5,63,0.0121,0.0034,353.0,0.255,85.0,3.0,512,12.8,HBM-bound  I=3.0 FLOPs/B < I*=217
4,3,1,4,0.0093,0.0002,4262.2,0.007,7.0,1.0,128,3.2,HBM-bound  I=1.0 FLOPs/B < I*=217
4,3,3,40,0.0111,0.0022,508.7,0.118,59.0,2.0,384,9.6,HBM-bound  I=2.0 FLOPs/B < I*=217
4,3,5,364,0.0171,0.0199,86.1,1.046,348.5,3.0,2944,73.6,HBM-bound  I=3.0 FLOPs/B < I*=217
4,4,1,5,0.0093,0.0003,3416.5,0.009,8.8,1.0,128,3.2,HBM-bound  I=1.0 FLOPs/B < I*=217
4,4,3,85,0.0115,0.0046,247.8,0.242,121.1,2.0,768,19.2,HBM-bound  I=2.0 FLOPs/B < I*=217
4,4,5,1365,0.0293,0.0745,39.3,2.29,763.3,3.0,11008,275.2,HBM-bound  I=3.0 FLOPs/B < I*=217
16,2,1,3,0.0093,0.0007,1415.4,0.021,21.2,1.0,2048,51.2,HBM-bound  I=1.0 FLOPs/B < I*=217
16,2,3,15,0.0106,0.0033,325.0,0.185,92.3,2.0,2048,51.2,HBM-bound  I=2.0 FLOPs/B < I*=217
16,2,5,63,0.0145,0.0138,105.1,0.856,285.5,3.0,8192,204.8,HBM-bound  I=3.0 FLOPs/B < I*=217
16,3,1,4,0.0091,0.0009,1041.2,0.029,28.8,1.0,2048,51.2,HBM-bound  I=1.0 FLOPs/B < I*=217
16,3,3,40,0.0121,0.0087,138.9,0.432,216.0,2.0,6144,153.6,HBM-bound  I=2.0 FLOPs/B < I*=217
16,3,5,364,0.0313,0.0795,39.4,2.287,762.4,3.0,47104,1177.6,HBM-bound  I=3.0 FLOPs/B < I*=217
16,4,1,5,0.0092,0.0011,845.5,0.035,35.5,1.0,2048,51.2,HBM-bound  I=1.0 FLOPs/B < I*=217
16,4,3,85,0.0153,0.0186,82.1,0.73,365.2,2.0,12288,307.2,HBM-bound  I=2.0 FLOPs/B < I*=217
16,4,5,1365,0.0837,0.2982,28.1,3.207,1068.9,3.0,176128,4403.2,HBM-bound  I=3.0 FLOPs/B < I*=217
32,2,1,3,0.0097,0.0013,736.4,0.041,40.7,1.0,8192,204.8,HBM-bound  I=1.0 FLOPs/B < I*=217
32,2,3,15,0.0117,0.0066,178.2,0.337,168.4,2.0,8192,204.8,HBM-bound  I=2.0 FLOPs/B < I*=217
32,2,5,63,0.0183,0.0275,66.4,1.355,451.6,3.0,32768,819.2,HBM-bound  I=3.0 FLOPs/B < I*=217
32,3,1,4,0.0097,0.0017,553.5,0.054,54.2,1.0,8192,204.8,HBM-bound  I=1.0 FLOPs/B < I*=217
32,3,3,40,0.0148,0.0175,84.7,0.709,354.3,2.0,24576,614.4,HBM-bound  I=2.0 FLOPs/B < I*=217
32,3,5,364,0.0526,0.159,33.1,2.721,906.9,3.0,188416,4710.4,HBM-bound  I=3.0 FLOPs/B < I*=217
32,4,1,5,0.0098,0.0022,446.7,0.067,67.2,1.0,8192,204.8,HBM-bound  I=1.0 FLOPs/B < I*=217
32,4,3,85,0.0189,0.0371,51.0,1.176,588.1,2.0,49152,1228.8,HBM-bound  I=2.0 FLOPs/B < I*=217
32,4,5,1365,0.1615,0.5964,27.1,3.324,1108.0,3.0,704512,17612.8,HBM-bound  I=3.0 FLOPs/B < I*=217
